E_AA_NAME,Label (Grouping),Geoid1,Median HH Income,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),Total: (Population Race P8 Census 2020.csv),Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Black or African American alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!White alone,Total:!!Two or More Races,Total:!!Some Other Race alone
,Block Group 1; Census Tract 154.01; San Francisco County; California,60750154011,"$174,410","1,331","2,599","2,599",12,739,100,7,"1,412",257,72
,Block Group 1; Census Tract 154.02; San Francisco County; California,60750154021,"$190,341",741,"1,421","1,421",0,280,25,1,906,175,34
,Block Group 1; Census Tract 155; San Francisco County; California,60750155001,"$128,125",894,"1,527","1,527",5,559,125,3,669,123,43
,Block Group 1; Census Tract 157.02; San Francisco County; California,60750157021,"$178,750",844,"1,650","1,650",3,449,75,3,862,186,72
,Block Group 1; Census Tract 158.01; San Francisco County; California,60750158011,,236,494,494,3,159,150,0,119,52,11
,Block Group 2; Census Tract 126.01; San Francisco County; California,60750126012,"$157,794",941,"1,443","1,443",2,146,12,0,"1,115",135,33
,Block Group 2; Census Tract 127; San Francisco County; California,60750127002,,793,"1,275","1,275",3,121,4,0,"1,028",97,22
,Block Group 2; Census Tract 128.01; San Francisco County; California,60750128012,"$221,591",598,"1,008","1,008",2,91,10,3,801,75,26
,Block Group 2; Census Tract 128.02; San Francisco County; California,60750128022,,586,999,999,2,66,15,0,839,58,19
,Block Group 2; Census Tract 130.02; San Francisco County; California,60750130022,"$196,513",614,991,991,0,136,2,0,774,64,15
,Block Group 2; Census Tract 132; San Francisco County; California,60750132002,,680,"1,488","1,488",2,165,19,8,"1,123",121,50
,Block Group 2; Census Tract 133; San Francisco County; California,60750133002,"$229,891",576,"1,126","1,126",3,120,9,0,882,96,16
,Block Group 2; Census Tract 134.01; San Francisco County; California,60750134012,"$221,167",516,893,893,0,119,21,0,632,95,26
,Block Group 2; Census Tract 152.02; San Francisco County; California,60750152022,"$185,625",622,"1,082","1,082",5,206,34,4,682,129,22
,Block Group 2; Census Tract 153; San Francisco County; California,60750153002,"$132,639",685,"1,369","1,369",0,230,78,7,852,158,44
,Block Group 2; Census Tract 155; San Francisco County; California,60750155002,,314,698,698,1,127,156,22,254,91,47
